RegionID,State,City,Lat,Lng,Year,Month,Price
394931, UT,Ogden,41.223,-111.9738304,2014,01,936
394528, FL,Daytona Beach,29.2108147,-81.0228331,2014,01,1003
394531, IA,Des Moines,41.5868353,-93.6249593,2014,01,1012
394711, MS,Jackson,32.2987573,-90.1848103,2014,01,1112
395075, PA,Scranton,41.408969,-75.66241219999999,2014,01,643
394666, PA,Harrisburg,40.2731911,-76.8867008,2014,01,995
394957, FL,Melbourne,28.0836269,-80.60810889999999,2014,01,994
394460, TN,Chattanooga,35.0456297,-85.3096801,2014,01,918
395113, WA,Spokane,47.6587802,-117.4260465,2014,01,939
395006, UT,Provo,40.2338438,-111.6585337,2014,01,981
394549, NC,Durham,35.9940329,-78.898619,2014,01,1161
394995, FL,Port St. Lucie,27.2730492,-80.3582261,2014,01,1179
394602, CO,Fort Collins,40.5852602,-105.084423,2014,01,1168
394405, CO,Boulder,40.0149856,-105.2705456,2014,01,1494
394645, CO,Greeley,40.4233142,-104.7091322,2014,01,1167
394623, GA,Gainesville,34.2978794,-83.8240663,2014,01,976
102001,,United States,37.09024,-95.712891,2014,02,1380
394913, NY,New York,40.7127753,-74.0059728,2014,02,2391
753899, CA,Los Angeles-Long Beach-Anaheim,34.0522166,-118.2436619,2014,02,1848
394463, IL,Chicago,41.8781136,-87.6297982,2014,02,1517
394514, TX,Dallas-Fort Worth,32.7078751,-96.9209135,2014,02,1207
394974, PA,Philadelphia,39.9525839,-75.1652215,2014,02,1341
394692, TX,Houston,29.7604267,-95.3698028,2014,02,1249
395209, DC,Washington,38.9071923,-77.0368707,2014,02,1853
394856, FL,Miami-Fort Lauderdale,26.3013917,-80.6326916,2014,02,1562
394347, GA,Atlanta,33.7489954,-84.3879824,2014,02,1136
394404, MA,Boston,42.3600825,-71.0588801,2014,02,2015
395057, CA,San Francisco,37.7749295,-122.4194155,2014,02,2203
394532, MI,Detroit,42.331427,-83.0457538,2014,02,1042
395025, CA,Riverside,33.9806005,-117.3754942,2014,02,1460
394976, AZ,Phoenix,33.4483771,-112.0740373,2014,02,1007
395078, WA,Seattle,47.6062095,-122.3320708,2014,02,1365
394865, MN,Minneapolis-St Paul,44.9374831,-93.20099979999999,2014,02,1209
395056, CA,San Diego,32.715738,-117.1610838,2014,02,1686
395121, MO,St. Louis,38.6270025,-90.19940419999999,2014,02,961
395148, FL,Tampa,27.950575,-82.4571776,2014,02,1139
394358, MD,Baltimore,39.2903848,-76.6121893,2014,02,1509
394530, CO,Denver,39.7392358,-104.990251,2014,02,1199
394982, PA,Pittsburgh,40.44062479999999,-79.9958864,2014,02,1006
394998, OR,Portland,45.5051064,-122.6750261,2014,02,1168
394458, NC,Charlotte,35.2270869,-80.8431267,2014,02,1137
395045, CA,Sacramento,38.5815719,-121.4943996,2014,02,1240
395055, TX,San Antonio,29.4241219,-98.49362819999999,2014,02,1071
394943, FL,Orlando,28.5383355,-81.3792365,2014,02,1216
394466, OH,Cincinnati,39.1031182,-84.5120196,2014,02,989
394475, OH,Cleveland,41.49932,-81.6943605,2014,02,983
394735, MO,Kansas City,39.0997265,-94.5785667,2014,02,960
394775, NV,Las Vegas,36.1699412,-115.1398296,2014,02,1039
394492, OH,Columbus,39.9611755,-82.99879419999999,2014,02,1016
394705, IN,Indianapolis,39.768403,-86.158068,2014,02,1040
395059, CA,San Jose,37.3382082,-121.8863286,2014,02,2136
394355, TX,Austin,30.267153,-97.7430608,2014,02,1227
395194, VA,Virginia Beach,36.8529263,-75.97798499999999,2014,02,1182
394902, TN,Nashville,36.1626638,-86.7816016,2014,02,1180
395005, RI,Providence,41.8239891,-71.4128343,2014,02,1155
394862, WI,Milwaukee,43.0389025,-87.9064736,2014,02,985
394714, FL,Jacksonville,30.3321838,-81.65565099999999,2014,02,1089
394849, TN,Memphis,35.1495343,-90.0489801,2014,02,1105
394935, OK,Oklahoma City,35.4675602,-97.5164276,2014,02,964
394807, KY,Louisville-Jefferson County,38.2526647,-85.7584557,2014,02,806
394669, CT,Hartford,41.7658043,-72.6733723,2014,02,1136
395022, VA,Richmond,37.5407246,-77.4360481,2014,02,1066
394910, LA,New Orleans,29.95106579999999,-90.0715323,2014,02,1065
394425, NY,Buffalo,42.88644679999999,-78.8783689,2014,02,893
395012, NC,Raleigh,35.7795897,-78.6381787,2014,02,1219
394388, AL,Birmingham,33.5185892,-86.8103567,2014,02,962
395053, UT,Salt Lake City,40.7607793,-111.8910474,2014,02,1065
395031, NY,Rochester,43.15657789999999,-77.6088465,2014,02,940
394640, MI,Grand Rapids,42.9633599,-85.6680863,2014,02,864
395167, AZ,Tucson,32.2226066,-110.9747108,2014,02,959
753924, HI,Urban Honolulu,21.2765308,-157.8257819,2014,02,1666
395169, OK,Tulsa,36.1539816,-95.99277500000001,2014,02,963
394619, CA,Fresno,36.7377981,-119.7871247,2014,02,1122
395238, MA,Worcester,42.2625932,-71.8022934,2014,02,1043
394415, CT,Stamford,41.0534302,-73.5387341,2014,02,1751
394312, NM,Albuquerque,35.0843859,-106.650422,2014,02,977
394308, NY,Albany,42.6525793,-73.7562317,2014,02,1043
394938, NE,Omaha,41.2565369,-95.9345034,2014,02,971
394908, CT,New Haven,41.308274,-72.9278835,2014,02,1197
394357, CA,Bakersfield,35.3732921,-119.0187125,2014,02,1018
394753, TN,Knoxville,35.9606384,-83.9207392,2014,02,1024
394653, SC,Greenville,34.85261759999999,-82.3940104,2014,02,1000
394952, CA,Ventura,34.2804923,-119.2945199,2014,02,2057
394318, PA,Allentown,40.6022939,-75.4714098,2014,02,1139
394561, TX,El Paso,31.7618778,-106.4850217,2014,02,1023
